drug	disease	CSH	AJG	PK	CSH_notes	AJG_notes	PK_notes	google	uptodate	drug_url	disease_url	tie	3-person consensus	pouya agreed with at least one person
Paclitaxel	breast cancer	DM	DM	DM				https://www.google.com/webhp#q=Paclitaxel	http://www.uptodate.com/contents/search?search=Paclitaxel	http://www.drugbank.ca/drugs/DB01229	http://www.disease-ontology.org/term/DOID%3A1612	FALSE	TRUE	TRUE
Paclitaxel	kidney cancer	DM	DM	DM				https://www.google.com/webhp#q=Paclitaxel	http://www.uptodate.com/contents/search?search=Paclitaxel	http://www.drugbank.ca/drugs/DB01229	http://www.disease-ontology.org/term/DOID%3A263	FALSE	TRUE	TRUE
Paclitaxel	lung cancer	DM	DM	DM				https://www.google.com/webhp#q=Paclitaxel	http://www.uptodate.com/contents/search?search=Paclitaxel	http://www.drugbank.ca/drugs/DB01229	http://www.disease-ontology.org/term/DOID%3A1324	FALSE	TRUE	TRUE
Paclitaxel	ovarian cancer	DM	DM	DM				https://www.google.com/webhp#q=Paclitaxel	http://www.uptodate.com/contents/search?search=Paclitaxel	http://www.drugbank.ca/drugs/DB01229	http://www.disease-ontology.org/term/DOID%3A2394	FALSE	TRUE	TRUE
Paliperidone	schizophrenia	SYM	SYM	SYM				https://www.google.com/webhp#q=Paliperidone	http://www.uptodate.com/contents/search?search=Paliperidone	http://www.drugbank.ca/drugs/DB01267	http://www.disease-ontology.org/term/DOID%3A5419	FALSE	TRUE	TRUE
Pamidronate	Paget's disease of bone	DM	DM	DM				https://www.google.com/webhp#q=Pamidronate	http://www.uptodate.com/contents/search?search=Pamidronate	http://www.drugbank.ca/drugs/DB00282	http://www.disease-ontology.org/term/DOID%3A5408	FALSE	TRUE	TRUE
Pamidronate	osteoporosis	DM	DM	DM				https://www.google.com/webhp#q=Pamidronate	http://www.uptodate.com/contents/search?search=Pamidronate	http://www.drugbank.ca/drugs/DB00282	http://www.disease-ontology.org/term/DOID%3A11476	FALSE	TRUE	TRUE
Paroxetine	bipolar disorder	SYM	SYM	SYM				https://www.google.com/webhp#q=Paroxetine	http://www.uptodate.com/contents/search?search=Paroxetine	http://www.drugbank.ca/drugs/DB00715	http://www.disease-ontology.org/term/DOID%3A3312	FALSE	TRUE	TRUE
Paroxetine	endogenous depression	SYM	SYM	SYM				https://www.google.com/webhp#q=Paroxetine	http://www.uptodate.com/contents/search?search=Paroxetine	http://www.drugbank.ca/drugs/DB00715	http://www.disease-ontology.org/term/DOID%3A1595	FALSE	TRUE	TRUE
Paroxetine	panic disorder	SYM	SYM	SYM				https://www.google.com/webhp#q=Paroxetine	http://www.uptodate.com/contents/search?search=Paroxetine	http://www.drugbank.ca/drugs/DB00715	http://www.disease-ontology.org/term/DOID%3A594	FALSE	TRUE	TRUE
Pazopanib	kidney cancer	DM	DM	DM				https://www.google.com/webhp#q=Pazopanib	http://www.uptodate.com/contents/search?search=Pazopanib	http://www.drugbank.ca/drugs/DB06589	http://www.disease-ontology.org/term/DOID%3A263	FALSE	TRUE	TRUE
Pemetrexed	lung cancer	DM	DM	DM		Mesothelioma		https://www.google.com/webhp#q=Pemetrexed	http://www.uptodate.com/contents/search?search=Pemetrexed	http://www.drugbank.ca/drugs/DB00642	http://www.disease-ontology.org/term/DOID%3A1324	FALSE	TRUE	TRUE
Penbutolol	coronary artery disease	NOT	NOT	DM			"it's a beta blocker, it is not the first line beta-blocker, but all beta-blockers are likely to be DM"	https://www.google.com/webhp#q=Penbutolol	http://www.uptodate.com/contents/search?search=Penbutolol	http://www.drugbank.ca/drugs/DB01359	http://www.disease-ontology.org/term/DOID%3A3393	FALSE	FALSE	FALSE
Penicillamine	rheumatoid arthritis	DM	DM	DM				https://www.google.com/webhp#q=Penicillamine	http://www.uptodate.com/contents/search?search=Penicillamine	http://www.drugbank.ca/drugs/DB00859	http://www.disease-ontology.org/term/DOID%3A7148	FALSE	TRUE	TRUE
Pentostatin	hematologic cancer	DM	DM	DM				https://www.google.com/webhp#q=Pentostatin	http://www.uptodate.com/contents/search?search=Pentostatin	http://www.drugbank.ca/drugs/DB00552	http://www.disease-ontology.org/term/DOID%3A2531	FALSE	TRUE	TRUE
Pentoxifylline	systemic scleroderma	SYM	SYM	DM			"affects the biology of the disease, thereby easing symptoms"	https://www.google.com/webhp#q=Pentoxifylline	http://www.uptodate.com/contents/search?search=Pentoxifylline	http://www.drugbank.ca/drugs/DB00806	http://www.disease-ontology.org/term/DOID%3A418	FALSE	FALSE	FALSE
Perindopril	hypertension	DM	DM	DM				https://www.google.com/webhp#q=Perindopril	http://www.uptodate.com/contents/search?search=Perindopril	http://www.drugbank.ca/drugs/DB00790	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Perphenazine	Gilles de la Tourette syndrome	SYM	SYM	SYM			assuming concurrent OCD or psychosis	https://www.google.com/webhp#q=Perphenazine	http://www.uptodate.com/contents/search?search=Perphenazine	http://www.drugbank.ca/drugs/DB00850	http://www.disease-ontology.org/term/DOID%3A11119	FALSE	TRUE	TRUE
Phendimetrazine	obesity	DM	DM	DM				https://www.google.com/webhp#q=Phendimetrazine	http://www.uptodate.com/contents/search?search=Phendimetrazine	http://www.drugbank.ca/drugs/DB01579	http://www.disease-ontology.org/term/DOID%3A9970	FALSE	TRUE	TRUE
Phenobarbital	epilepsy syndrome	SYM	SYM	DM			amendment 1	https://www.google.com/webhp#q=Phenobarbital	http://www.uptodate.com/contents/search?search=Phenobarbital	http://www.drugbank.ca/drugs/DB01174	http://www.disease-ontology.org/term/DOID%3A1826	FALSE	FALSE	FALSE
Phenobarbital	hypertension	NOT	NOT	NOT				https://www.google.com/webhp#q=Phenobarbital	http://www.uptodate.com/contents/search?search=Phenobarbital	http://www.drugbank.ca/drugs/DB01174	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Phentermine	obesity	DM	DM	DM				https://www.google.com/webhp#q=Phentermine	http://www.uptodate.com/contents/search?search=Phentermine	http://www.drugbank.ca/drugs/DB00191	http://www.disease-ontology.org/term/DOID%3A9970	FALSE	TRUE	TRUE
Phentolamine	hypertension	SYM	SYM	SYM	HTN emerg		"might have been DM, but will defer to others"	https://www.google.com/webhp#q=Phentolamine	http://www.uptodate.com/contents/search?search=Phentolamine	http://www.drugbank.ca/drugs/DB00692	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Phenylephrine	glaucoma	NOT	NOT	NOT		WORSENS NARROW ANGLE		https://www.google.com/webhp#q=Phenylephrine	http://www.uptodate.com/contents/search?search=Phenylephrine	http://www.drugbank.ca/drugs/DB00388	http://www.disease-ontology.org/term/DOID%3A1686	FALSE	TRUE	TRUE
Phenytoin	epilepsy syndrome	SYM	SYM	DM			amendment 1	https://www.google.com/webhp#q=Phenytoin	http://www.uptodate.com/contents/search?search=Phenytoin	http://www.drugbank.ca/drugs/DB00252	http://www.disease-ontology.org/term/DOID%3A1826	FALSE	FALSE	FALSE
Phenytoin	multiple sclerosis	NOT	NOT	NOT				https://www.google.com/webhp#q=Phenytoin	http://www.uptodate.com/contents/search?search=Phenytoin	http://www.drugbank.ca/drugs/DB00252	http://www.disease-ontology.org/term/DOID%3A2377	FALSE	TRUE	TRUE
Pilocarpine	head and neck cancer	SYM	SYM	SYM				https://www.google.com/webhp#q=Pilocarpine	http://www.uptodate.com/contents/search?search=Pilocarpine	http://www.drugbank.ca/drugs/DB01085	http://www.disease-ontology.org/term/DOID%3A11934	FALSE	TRUE	TRUE
Pilocarpine	hypertension	NOT	NOT	NOT				https://www.google.com/webhp#q=Pilocarpine	http://www.uptodate.com/contents/search?search=Pilocarpine	http://www.drugbank.ca/drugs/DB01085	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Pimecrolimus	atopic dermatitis	DM	DM	DM				https://www.google.com/webhp#q=Pimecrolimus	http://www.uptodate.com/contents/search?search=Pimecrolimus	http://www.drugbank.ca/drugs/DB00337	http://www.disease-ontology.org/term/DOID%3A3310	FALSE	TRUE	TRUE
Pimozide	Gilles de la Tourette syndrome	SYM	SYM	SYM			assuming concurrent OCD or psychosis	https://www.google.com/webhp#q=Pimozide	http://www.uptodate.com/contents/search?search=Pimozide	http://www.drugbank.ca/drugs/DB01100	http://www.disease-ontology.org/term/DOID%3A11119	FALSE	TRUE	TRUE
Pitavastatin	coronary artery disease	DM	DM	DM				https://www.google.com/webhp#q=Pitavastatin	http://www.uptodate.com/contents/search?search=Pitavastatin	http://www.drugbank.ca/drugs/DB08860	http://www.disease-ontology.org/term/DOID%3A3393	FALSE	TRUE	TRUE
Porfimer	esophageal cancer	SYM	SYM	SYM	palliative	Used for late stage disease	"almost wanted DM, but will agree with others"	https://www.google.com/webhp#q=Porfimer	http://www.uptodate.com/contents/search?search=Porfimer	http://www.drugbank.ca/drugs/DB00707	http://www.disease-ontology.org/term/DOID%3A5041	FALSE	TRUE	TRUE
Potassium Chloride	breast cancer	NOT	NOT	NOT				https://www.google.com/webhp#q=Potassium Chloride	http://www.uptodate.com/contents/search?search=Potassium Chloride	http://www.drugbank.ca/drugs/DB00761	http://www.disease-ontology.org/term/DOID%3A1612	FALSE	TRUE	TRUE
Potassium Chloride	coronary artery disease	NOT	NOT	NOT				https://www.google.com/webhp#q=Potassium Chloride	http://www.uptodate.com/contents/search?search=Potassium Chloride	http://www.drugbank.ca/drugs/DB00761	http://www.disease-ontology.org/term/DOID%3A3393	FALSE	TRUE	TRUE
Potassium Chloride	hypertension	NOT	NOT	NOT				https://www.google.com/webhp#q=Potassium Chloride	http://www.uptodate.com/contents/search?search=Potassium Chloride	http://www.drugbank.ca/drugs/DB00761	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Pramipexole	Alzheimer's disease	NOT	NOT	NOT				https://www.google.com/webhp#q=Pramipexole	http://www.uptodate.com/contents/search?search=Pramipexole	http://www.drugbank.ca/drugs/DB00413	http://www.disease-ontology.org/term/DOID%3A10652	FALSE	TRUE	TRUE
Pramipexole	Parkinson's disease	SYM	SYM	SYM				https://www.google.com/webhp#q=Pramipexole	http://www.uptodate.com/contents/search?search=Pramipexole	http://www.drugbank.ca/drugs/DB00413	http://www.disease-ontology.org/term/DOID%3A14330	FALSE	TRUE	TRUE
Pramipexole	restless legs syndrome	SYM	SYM	SYM				https://www.google.com/webhp#q=Pramipexole	http://www.uptodate.com/contents/search?search=Pramipexole	http://www.drugbank.ca/drugs/DB00413	http://www.disease-ontology.org/term/DOID%3A0050425	FALSE	TRUE	TRUE
Pravastatin	atherosclerosis	DM	DM	DM				https://www.google.com/webhp#q=Pravastatin	http://www.uptodate.com/contents/search?search=Pravastatin	http://www.drugbank.ca/drugs/DB00175	http://www.disease-ontology.org/term/DOID%3A1936	FALSE	TRUE	TRUE
Pravastatin	coronary artery disease	DM	DM	DM				https://www.google.com/webhp#q=Pravastatin	http://www.uptodate.com/contents/search?search=Pravastatin	http://www.drugbank.ca/drugs/DB00175	http://www.disease-ontology.org/term/DOID%3A3393	FALSE	TRUE	TRUE
Prednisolone	anemia	NOT	NOT	NOT				https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A2355	FALSE	TRUE	TRUE
Prednisolone	hematologic cancer	SYM	SYM	DM			see notes on steroids in cancers	https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A2531	FALSE	FALSE	FALSE
Prednisolone	idiopathic pulmonary fibrosis	SYM	SYM	SYM				https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A0050156	FALSE	TRUE	TRUE
Prednisolone	multiple sclerosis	SYM	SYM	DM	Pilot classification: symptomatic; Pilot notes:			https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A2377	FALSE	FALSE	FALSE
Prednisolone	psoriasis	SYM	SYM	DM				https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A8893	FALSE	FALSE	FALSE
Prednisolone	psoriatic arthritis	SYM	SYM	DM				https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A9008	FALSE	FALSE	FALSE
Prednisolone	ulcerative colitis	SYM	SYM	DM				https://www.google.com/webhp#q=Prednisolone	http://www.uptodate.com/contents/search?search=Prednisolone	http://www.drugbank.ca/drugs/DB00860	http://www.disease-ontology.org/term/DOID%3A8577	FALSE	FALSE	FALSE
Prednisone	ankylosing spondylitis	SYM	SYM	DM				https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A7147	FALSE	FALSE	FALSE
Prednisone	hematologic cancer	SYM	SYM	DM			see notes on steroids in cancers	https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A2531	FALSE	FALSE	FALSE
Prednisone	migraine	SYM	SYM	SYM				https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A6364	FALSE	TRUE	TRUE
Prednisone	multiple sclerosis	SYM	SYM	DM				https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A2377	FALSE	FALSE	FALSE
Prednisone	prostate cancer	SYM	SYM	DM				https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A10283	FALSE	FALSE	FALSE
Prednisone	psoriasis	SYM	SYM	DM				https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A8893	FALSE	FALSE	FALSE
Prednisone	psoriatic arthritis	SYM	SYM	DM				https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A9008	FALSE	FALSE	FALSE
Prednisone	systemic scleroderma	SYM	SYM	DM				https://www.google.com/webhp#q=Prednisone	http://www.uptodate.com/contents/search?search=Prednisone	http://www.drugbank.ca/drugs/DB00635	http://www.disease-ontology.org/term/DOID%3A418	FALSE	FALSE	FALSE
Pregabalin	epilepsy syndrome	SYM	SYM	DM				https://www.google.com/webhp#q=Pregabalin	http://www.uptodate.com/contents/search?search=Pregabalin	http://www.drugbank.ca/drugs/DB00230	http://www.disease-ontology.org/term/DOID%3A1826	FALSE	FALSE	FALSE
Pregabalin	multiple sclerosis	SYM	SYM	SYM				https://www.google.com/webhp#q=Pregabalin	http://www.uptodate.com/contents/search?search=Pregabalin	http://www.drugbank.ca/drugs/DB00230	http://www.disease-ontology.org/term/DOID%3A2377	FALSE	TRUE	TRUE
Pregabalin	prostate cancer	NOT	NOT	NOT				https://www.google.com/webhp#q=Pregabalin	http://www.uptodate.com/contents/search?search=Pregabalin	http://www.drugbank.ca/drugs/DB00230	http://www.disease-ontology.org/term/DOID%3A10283	FALSE	TRUE	TRUE
Pregabalin	restless legs syndrome	SYM	SYM	SYM				https://www.google.com/webhp#q=Pregabalin	http://www.uptodate.com/contents/search?search=Pregabalin	http://www.drugbank.ca/drugs/DB00230	http://www.disease-ontology.org/term/DOID%3A0050425	FALSE	TRUE	TRUE
Primidone	epilepsy syndrome	SYM	SYM	DM				https://www.google.com/webhp#q=Primidone	http://www.uptodate.com/contents/search?search=Primidone	http://www.drugbank.ca/drugs/DB00794	http://www.disease-ontology.org/term/DOID%3A1826	FALSE	FALSE	FALSE
Probenecid	gout	DM	DM	DM				https://www.google.com/webhp#q=Probenecid	http://www.uptodate.com/contents/search?search=Probenecid	http://www.drugbank.ca/drugs/DB01032	http://www.disease-ontology.org/term/DOID%3A13189	FALSE	TRUE	TRUE
Procarbazine	brain cancer	DM	DM	DM				https://www.google.com/webhp#q=Procarbazine	http://www.uptodate.com/contents/search?search=Procarbazine	http://www.drugbank.ca/drugs/DB01168	http://www.disease-ontology.org/term/DOID%3A1319	FALSE	TRUE	TRUE
Procarbazine	hematologic cancer	DM	DM	DM				https://www.google.com/webhp#q=Procarbazine	http://www.uptodate.com/contents/search?search=Procarbazine	http://www.drugbank.ca/drugs/DB01168	http://www.disease-ontology.org/term/DOID%3A2531	FALSE	TRUE	TRUE
Procarbazine	lung cancer	NOT	NOT	NOT				https://www.google.com/webhp#q=Procarbazine	http://www.uptodate.com/contents/search?search=Procarbazine	http://www.drugbank.ca/drugs/DB01168	http://www.disease-ontology.org/term/DOID%3A1324	FALSE	TRUE	TRUE
Procarbazine	melanoma	NOT	NOT	NOT				https://www.google.com/webhp#q=Procarbazine	http://www.uptodate.com/contents/search?search=Procarbazine	http://www.drugbank.ca/drugs/DB01168	http://www.disease-ontology.org/term/DOID%3A1909	FALSE	TRUE	TRUE
Procarbazine	skin cancer	NOT	NOT	NOT				https://www.google.com/webhp#q=Procarbazine	http://www.uptodate.com/contents/search?search=Procarbazine	http://www.drugbank.ca/drugs/DB01168	http://www.disease-ontology.org/term/DOID%3A4159	FALSE	TRUE	TRUE
Procyclidine	Alzheimer's disease	NOT	NOT	NOT				https://www.google.com/webhp#q=Procyclidine	http://www.uptodate.com/contents/search?search=Procyclidine	http://www.drugbank.ca/drugs/DB00387	http://www.disease-ontology.org/term/DOID%3A10652	FALSE	TRUE	TRUE
Procyclidine	Parkinson's disease	SYM	SYM	SYM				https://www.google.com/webhp#q=Procyclidine	http://www.uptodate.com/contents/search?search=Procyclidine	http://www.drugbank.ca/drugs/DB00387	http://www.disease-ontology.org/term/DOID%3A14330	FALSE	TRUE	TRUE
Proguanil	malaria	DM	DM	DM				https://www.google.com/webhp#q=Proguanil	http://www.uptodate.com/contents/search?search=Proguanil	http://www.drugbank.ca/drugs/DB01131	http://www.disease-ontology.org/term/DOID%3A12365	FALSE	TRUE	TRUE
Propofol	epilepsy syndrome	SYM	SYM	DM	Pilot classification: symptomatic; Pilot notes:			https://www.google.com/webhp#q=Propofol	http://www.uptodate.com/contents/search?search=Propofol	http://www.drugbank.ca/drugs/DB00818	http://www.disease-ontology.org/term/DOID%3A1826	FALSE	FALSE	FALSE
Propranolol	migraine	SYM	SYM	DM			see notes on migraine	https://www.google.com/webhp#q=Propranolol	http://www.uptodate.com/contents/search?search=Propranolol	http://www.drugbank.ca/drugs/DB00571	http://www.disease-ontology.org/term/DOID%3A6364	FALSE	FALSE	FALSE
Propylthiouracil	Graves' disease	DM	DM	DM				https://www.google.com/webhp#q=Propylthiouracil	http://www.uptodate.com/contents/search?search=Propylthiouracil	http://www.drugbank.ca/drugs/DB00550	http://www.disease-ontology.org/term/DOID%3A12361	FALSE	TRUE	TRUE
Pseudoephedrine	asthma	SYM	SYM	SYM				https://www.google.com/webhp#q=Pseudoephedrine	http://www.uptodate.com/contents/search?search=Pseudoephedrine	http://www.drugbank.ca/drugs/DB00852	http://www.disease-ontology.org/term/DOID%3A2841	FALSE	TRUE	TRUE
Pyridoxine	anemia	DM	DM	NOT	for B6 def anemia	For pyrodoxine responsive anemia		https://www.google.com/webhp#q=Pyridoxine	http://www.uptodate.com/contents/search?search=Pyridoxine	http://www.drugbank.ca/drugs/DB00165	http://www.disease-ontology.org/term/DOID%3A2355	FALSE	FALSE	FALSE
Pyrimethamine	malaria	DM	DM	DM				https://www.google.com/webhp#q=Pyrimethamine	http://www.uptodate.com/contents/search?search=Pyrimethamine	http://www.drugbank.ca/drugs/DB00205	http://www.disease-ontology.org/term/DOID%3A12365	FALSE	TRUE	TRUE
Quazepam	multiple sclerosis	SYM	SYM	SYM				https://www.google.com/webhp#q=Quazepam	http://www.uptodate.com/contents/search?search=Quazepam	http://www.drugbank.ca/drugs/DB01589	http://www.disease-ontology.org/term/DOID%3A2377	FALSE	TRUE	TRUE
Quetiapine	autistic disorder	SYM	SYM	SYM				https://www.google.com/webhp#q=Quetiapine	http://www.uptodate.com/contents/search?search=Quetiapine	http://www.drugbank.ca/drugs/DB01224	http://www.disease-ontology.org/term/DOID%3A12849	FALSE	TRUE	TRUE
Quetiapine	bipolar disorder	SYM	SYM	SYM				https://www.google.com/webhp#q=Quetiapine	http://www.uptodate.com/contents/search?search=Quetiapine	http://www.drugbank.ca/drugs/DB01224	http://www.disease-ontology.org/term/DOID%3A3312	FALSE	TRUE	TRUE
Quetiapine	schizophrenia	SYM	SYM	SYM				https://www.google.com/webhp#q=Quetiapine	http://www.uptodate.com/contents/search?search=Quetiapine	http://www.drugbank.ca/drugs/DB01224	http://www.disease-ontology.org/term/DOID%3A5419	FALSE	TRUE	TRUE
Quinidine barbiturate	hypertension	NOT	NOT	NOT				https://www.google.com/webhp#q=Quinidine barbiturate	http://www.uptodate.com/contents/search?search=Quinidine barbiturate	http://www.drugbank.ca/drugs/DB01346	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Quinine	malaria	DM	DM	DM				https://www.google.com/webhp#q=Quinine	http://www.uptodate.com/contents/search?search=Quinine	http://www.drugbank.ca/drugs/DB00468	http://www.disease-ontology.org/term/DOID%3A12365	FALSE	TRUE	TRUE
Raloxifene	breast cancer	DM	DM	DM		with ER+ postive tumor		https://www.google.com/webhp#q=Raloxifene	http://www.uptodate.com/contents/search?search=Raloxifene	http://www.drugbank.ca/drugs/DB00481	http://www.disease-ontology.org/term/DOID%3A1612	FALSE	TRUE	TRUE
Raloxifene	osteoporosis	DM	DM	DM				https://www.google.com/webhp#q=Raloxifene	http://www.uptodate.com/contents/search?search=Raloxifene	http://www.drugbank.ca/drugs/DB00481	http://www.disease-ontology.org/term/DOID%3A11476	FALSE	TRUE	TRUE
Ramelteon	Parkinson's disease	SYM	SYM	SYM				https://www.google.com/webhp#q=Ramelteon	http://www.uptodate.com/contents/search?search=Ramelteon	http://www.drugbank.ca/drugs/DB00980	http://www.disease-ontology.org/term/DOID%3A14330	FALSE	TRUE	TRUE
Ramipril	hypertension	DM	DM	DM				https://www.google.com/webhp#q=Ramipril	http://www.uptodate.com/contents/search?search=Ramipril	http://www.drugbank.ca/drugs/DB00178	http://www.disease-ontology.org/term/DOID%3A10763	FALSE	TRUE	TRUE
Ramipril	type 1 diabetes mellitus	NOT	NOT	DM				https://www.google.com/webhp#q=Ramipril	http://www.uptodate.com/contents/search?search=Ramipril	http://www.drugbank.ca/drugs/DB00178	http://www.disease-ontology.org/term/DOID%3A9744	FALSE	FALSE	FALSE
Ramipril	type 2 diabetes mellitus	NOT	NOT	DM			"ACEi, see notes"	https://www.google.com/webhp#q=Ramipril	http://www.uptodate.com/contents/search?search=Ramipril	http://www.drugbank.ca/drugs/DB00178	http://www.disease-ontology.org/term/DOID%3A9352	FALSE	FALSE	FALSE
Rasagiline	Parkinson's disease	SYM	SYM	SYM				https://www.google.com/webhp#q=Rasagiline	http://www.uptodate.com/contents/search?search=Rasagiline	http://www.drugbank.ca/drugs/DB01367	http://www.disease-ontology.org/term/DOID%3A14330	FALSE	TRUE	TRUE
Rifampicin	leprosy	DM	DM	DM				https://www.google.com/webhp#q=Rifampicin	http://www.uptodate.com/contents/search?search=Rifampicin	http://www.drugbank.ca/drugs/DB01045	http://www.disease-ontology.org/term/DOID%3A1024	FALSE	TRUE	TRUE
Risedronate	Paget's disease of bone	DM	DM	DM				https://www.google.com/webhp#q=Risedronate	http://www.uptodate.com/contents/search?search=Risedronate	http://www.drugbank.ca/drugs/DB00884	http://www.disease-ontology.org/term/DOID%3A5408	FALSE	TRUE	TRUE
Risedronate	osteoporosis	DM	DM	DM				https://www.google.com/webhp#q=Risedronate	http://www.uptodate.com/contents/search?search=Risedronate	http://www.drugbank.ca/drugs/DB00884	http://www.disease-ontology.org/term/DOID%3A11476	FALSE	TRUE	TRUE
Risperidone	Gilles de la Tourette syndrome	SYM	SYM	SYM			assuming concurrent OCD or psychosis	https://www.google.com/webhp#q=Risperidone	http://www.uptodate.com/contents/search?search=Risperidone	http://www.drugbank.ca/drugs/DB00734	http://www.disease-ontology.org/term/DOID%3A11119	FALSE	TRUE	TRUE
Risperidone	autistic disorder	SYM	SYM	SYM				https://www.google.com/webhp#q=Risperidone	http://www.uptodate.com/contents/search?search=Risperidone	http://www.drugbank.ca/drugs/DB00734	http://www.disease-ontology.org/term/DOID%3A12849	FALSE	TRUE	TRUE
Risperidone	bipolar disorder	SYM	SYM	SYM				https://www.google.com/webhp#q=Risperidone	http://www.uptodate.com/contents/search?search=Risperidone	http://www.drugbank.ca/drugs/DB00734	http://www.disease-ontology.org/term/DOID%3A3312	FALSE	TRUE	TRUE
Risperidone	conduct disorder	SYM	SYM	SYM				https://www.google.com/webhp#q=Risperidone	http://www.uptodate.com/contents/search?search=Risperidone	http://www.drugbank.ca/drugs/DB00734	http://www.disease-ontology.org/term/DOID%3A12995	FALSE	TRUE	TRUE
Risperidone	schizophrenia	SYM	SYM	SYM				https://www.google.com/webhp#q=Risperidone	http://www.uptodate.com/contents/search?search=Risperidone	http://www.drugbank.ca/drugs/DB00734	http://www.disease-ontology.org/term/DOID%3A5419	FALSE	TRUE	TRUE
Ritonavir	acquired immunodeficiency syndrome	DM	DM	DM				https://www.google.com/webhp#q=Ritonavir	http://www.uptodate.com/contents/search?search=Ritonavir	http://www.drugbank.ca/drugs/DB00503	http://www.disease-ontology.org/term/DOID%3A635	FALSE	TRUE	TRUE
Rivastigmine	Alzheimer's disease	SYM	SYM	DM			same as donepezil	https://www.google.com/webhp#q=Rivastigmine	http://www.uptodate.com/contents/search?search=Rivastigmine	http://www.drugbank.ca/drugs/DB00989	http://www.disease-ontology.org/term/DOID%3A10652	FALSE	FALSE	FALSE
Rivastigmine	Parkinson's disease	SYM	SYM	SYM				https://www.google.com/webhp#q=Rivastigmine	http://www.uptodate.com/contents/search?search=Rivastigmine	http://www.drugbank.ca/drugs/DB00989	http://www.disease-ontology.org/term/DOID%3A14330	FALSE	TRUE	TRUE
Rizatriptan	migraine	SYM	SYM	SYM				https://www.google.com/webhp#q=Rizatriptan	http://www.uptodate.com/contents/search?search=Rizatriptan	http://www.drugbank.ca/drugs/DB00953	http://www.disease-ontology.org/term/DOID%3A6364	FALSE	TRUE	TRUE
Rizatriptan	multiple sclerosis	NOT	NOT	NOT				https://www.google.com/webhp#q=Rizatriptan	http://www.uptodate.com/contents/search?search=Rizatriptan	http://www.drugbank.ca/drugs/DB00953	http://www.disease-ontology.org/term/DOID%3A2377	FALSE	TRUE	TRUE
Roflumilast	chronic obstructive pulmonary disease	DM	DM	DM			see notes for COPD	https://www.google.com/webhp#q=Roflumilast	http://www.uptodate.com/contents/search?search=Roflumilast	http://www.drugbank.ca/drugs/DB01656	http://www.disease-ontology.org/term/DOID%3A3083	FALSE	TRUE	TRUE
Ropinirole	Parkinson's disease	SYM	SYM	SYM				https://www.google.com/webhp#q=Ropinirole	http://www.uptodate.com/contents/search?search=Ropinirole	http://www.drugbank.ca/drugs/DB00268	http://www.disease-ontology.org/term/DOID%3A14330	FALSE	TRUE	TRUE
